UserName	ReviewLength
Satyendra Singh	10
Siva nag	55
Prabal Ghosh	61
Samsangh Bold	35
recommended seller	123
Atanu Roy	78
Harsh Dhone	22
Rohit Kamble	1
ron rohit	150
kousik karmakar	38
Chetan Ghai	49
A Google User	123
Jatin Mahera	22
shailesh patel	88
Sourav Dawn	78
Goutham sharma	1
ganjaman gurung	41
kishore kumar	43
niraj shrestha	45
Kodandapani R	17
Arnold Fernando	124
Kailash Roy	39
amey chawle	54
Ameer Ali	55
Satrio Adhi	83
lalithasobha yalamanchi	48
Danish Shaikh	14
LATESH KUMAR	9
Ankita Mitra	78
amitava ghosh	64
ramesh malve	25
dudani keyur	78
Dinesh Parikh	44
dipanjan biswas	145
Naveen Immanuel	1
Srinath Goud	18
Siva Chaitanya	11
Manikanchan Roy	74
SURESH REDDY Y	1
Basit Ahmed	11
ayan parai	11
Andri Xinz	165
Santi Biswas	78
Sonal Jain	45
sunil kumar	91
Brahmdeo Rajak	12
Bikash Singh	51
miftakhul ibad	27
kamal khewar	11
Monil Desai	27
anu prasad	80
dibyendu karmakar	44
sandra daley	1
Bharty Thakur	1
Nikhila Kaaja	25
Kiran Dua	82
rohith shetty	77
kunju vaishnav	27
Arup Das	46
Abhi Sniper	1
Purushotham Kumar	60
Rahul Patel	5
Sravya Gudavalli	54
Jayesh Vasava	19
lokesh lokesh	9
pawan kumar	56
sam smart	1
Tomojit bose	28
Sandeep Chary	37
Kajol Ghoshal	51
Pooja Singhal	1
arun kumar	22
Sanapathi Padmini	27
Komal Tomar	41
Sukanta Adhikari	47
Sangam Mishara	24
Raj Singh	48
Gopi Nadh	5
Mounika Reddy	26
Rex Roy	78
Neha Kaur	1
RAMAKRISHNAIAH NARU	1
Arup Das	55
achinta roy	76
henri patterson	1
thulasi namburi	1
vipin pai	1
Agnes Indriyanto	52
subhasish dey	75
Aysha Taj	17
Aremania Nexus	131
same smart	1
im desai	49
Naval Khichariya	15
umesh kadne	43
santoo n	25
Sujatha Majety	9
Veer Singh	53
Akshay SAPKAL	1
SHEKHAR PATIL	5
RAVI RAJ	64
Sweeti Kothari	8
Troll Idiots	66
